"fid","Name","Р2О5","К2О","Гидролитическая кислотность","рН водный","Гумус","рН солевой","fid2","red color","green color","blue color","8 канал","7 канал","6 канал","5 канал","4 канал","3 канал","2 канал","1 канал","Растительность"
"1","Поле √°52 проба 1","76","84","2.86","6.2","1.39","4.5","1","116","100","73","3700","3454","3229","2592","2128","1966","1693","1602","нет"
"2","Поле √°52 проба 2","103","86","3.13","6.3","1.55","4.7","2","142","102","77","3006","2798","2710","2577","2383","1984","1732","1686","нет"
"3","Поле √°53 проба 1","74","89","3.19","6.3","1.73","4.7","3","154","109","79","3177","2998","2869","2748","2508","2068","1770","1741","нет"
"4","Поле √°53 проба 2","92","120","3.05","6.2","1.5","4.5","4","140","98","72","3118","2894","2745","2609","2385","1982","1720","1680","нет"
"5","Поле √°54","154","143","1.28","7","1.58","6.1","5","144","104","76","3122","2922","2786","2588","2409","2016","1749","1674","нет"
"6","Поле √°54","160","140","1.94","6.6","2.43","5.3","6","161","116","86","3257","3094","2927","2803","2557","2130","1827","1764","нет"
"7","Поле √°666","250","169","2.21","6.6","1.91","5.3","7","113","108","73","4084","3876","3603","2653","2104","2059","1713","1636","нет"
"8","Поле √°666","357","142","3.05","6.5","2.21","5.2","8","104","99","67","3930","3714","3472","2519","2014","1967","1668","1595","нет"
"9","Поле √°84","500","178","2.68","6.3","2.45","5","9","89","62","47","2511","2318","2181","2029","1894","1626","1464","1452","нет"
"10","Поле √°50/1","101","96","2.57","6.3","1.25","4.7","10","183","124","79","3333","3261","3134","2992","2785","2212","1785","1632","нет"
"11","Поле √°50","110","100","2.46","6.6","1.74","5.3","11","129","99","70","3518","3199","3011","2579","2256","1968","1708","1608","нет"
"12","Поле √°51","56","92","2.16","6.4","1.99","4.7","12","113","92","61","3444","3331","3140","2547","2104","1905","1596","1536","нет"
"13","Поле √°49 проба 1","80","104","2.21","6.7","1.72","5.4","13","118","85","64","2981","2709","2580","2398","2155","1833","1631","1627","нет"
"14","Поле √°49 проба 2","99","143","3.26","6.6","2.35","5.2","14","121","89","67","2971","2726","2550","2362","2184","1850","1640","1583","нет"
"15","Поле √°48 проба 1","82","41","4.05","6.1","2","4.4","15","99","69","52","2749","2497","2325","2171","1973","1671","1503","1509","легкая растительность"
"16","Поле √°48 проба 2","63","46","2.52","6.5","1.42","4.9","16","135","95","69","2966","2797","2655","2527","2329","1931","1666","1616","легкая растительность"
"17","Поле √°15 проба 2","183","122","2.46","6.4","1.67","5","17","62","72","44","4067","3845","3478","2160","1602","1707","1428","1371","нет"
"18","Поле √°15 проба 1","135","116","2.46","6.4","1.95","5","18","54","66","38","3982","3760","3401","2086","1534","1655","1382","1342","нет"
"19","Полк √°16/1","225","106","3.71","5.9","2.12","4.4","19","95","92","63","3764","3476","3258","2537","1935","1898","1615","1533","нет"
"20","Поле √°16 проба 1","461","102","3.26","6.2","1.43","4.6","20","109","77","60","2689","2499","2350","2250","2074","1750","1563","1503","нет"
"21","Поле √°16 проба 2","250","90","3.4","6","1.61","4.4","21","112","77","56","2780","2550","2396","2293","2098","1755","1551","1484","нет"
"22","Поле Р6","670","123","2.16","6.8","3.51","5.6","22","73","82","49","4164","3879","3577","2338","1712","1804","1477","1467","легкая растительность"
"23","Поле Р2 проба 1","154","99","1.98","6.6","1.81","5.3","23","127","92","68","3069","2777","2605","2437","2236","1903","1677","1660","легкая растительность"
"24","Поле Р2 проба 2","293","110","2.16","6.8","2.74","5.8","24","115","83","65","3011","2627","2476","2325","2114","1802","1647","1620","легкая растительность"
"25","Поле Р2 проба 3","319","118","1.67","7","2.69","6","25","108","79","63","2907","2563","2342","2217","2069","1778","1605","1586","легкая растительность"
"26","Поле Р2 проба 4","289","102","2.11","6.7","2.07","5.6","26","116","85","68","2991","2683","2526","2351","2141","1834","1656","1623","нет "
"27","Поле Р1 проба 1","247","95","2.92","6.4","2.15","5.2","27","65","73","43","3843","3595","3266","2122","1630","1697","1427","1400","легкая растительность"
"28","Поле Р1 проба 2","247","92","2.74","6.4","1.86","5.1","28","56","68","39","4051","3869","3427","2087","1538","1666","1381","1383","легкая растительность"
"29","р32:08:0320201:4","241","106","1.08","7.2","2","6","29","85","82","53","3509","3278","3039","2277","1830","1795","1515","1518","нет"
"30","Поле Р5","133","99","2.62","6.7","3.06","5.5","30","117","86","67","2988","2600","2458","2292","2158","1846","1676","1642","нет"
"31","а32:08:0320301:7 проба 1","186","175","3.26","6.5","4.83","5.5","31","91","79","54","3318","3058","2868","2259","1889","1772","1526","1482","нет"
"32","а32:08:0320301:7 проба 2","204","167","3.26","6.5","3.51","5.4","32","90","76","54","3146","2871","2687","2212","1876","1754","1529","1474","нет"
"33","Поле Р4 проба 1","312","152","1.78","7","3","6","33","86","61","50","2436","2166","2034","1876","1851","1598","1463","1444","нет"
"34","32:08:0320302:132 проба 1","188","113","2.46","6.8","4.31","5.8","34","153","112","86","3529","3210","3062","2826","2490","2083","1819","1726","нет"
"35","32:08:0320302:132 проба 2","218","114","3.63","6.5","3.83","5.5","35","144","105","81","3369","3045","2905","2672","2405","2007","1768","1710","нет"
"36","Поле Р4 проба 2","275","142","1.67","6.9","3.02","5.9","36","75","55","44","2380","2078","1935","1835","1715","1532","1443","1449","нет"
"37","32:08:0320302:132 проба 3","123","117","3.82","6.4","3.92","5.2","37","145","105","79","3522","3239","3049","2726","2426","2033","1775","1659","нет"
"38","32:08:0320302:132 проба 4","109","146","3.96","6.5","3.73","5.3","38","134","98","74","3441","3165","3007","2609","2301","1972","1719","1613","нет"
"39","Поле Р4 проба 3","197","114","2.25","6.7","3.1","5.6","39","104","80","56","2994","2738","2592","2275","2014","1782","1557","1509","нет"
"40","32:08:0320302:132 проба 5","199","89","2.92","6.6","4.03","5.5","40","143","105","79","3583","3268","3108","2740","2406","2038","1776","1661","нет"
"41","Поле Р4 проба 4","247","107","4.23","6.4","3.86","5.3","41","101","83","57","3077","2840","2716","2302","2010","1813","1563","1504","нет"
"42","32:08:0320302:135","167","134","3.96","6.5","4.18","5.2","42","43","66","36","4366","3997","3605","2085","1420","1649","1351","1367","нет"
"43","32:08:0320302:122 проба 1","227","187","2.68","6.7","3.38","5.6","43","88","66","53","2572","2265","2117","1989","1869","1639","1515","1526","нет"
"44","32:08:0320302:122 проба 2","302","170","1.67","6.9","2.78","5.8","44","88","64","52","2571","2268","2114","1986","1855","1639","1513","1525","нет"
"45","32:08:0320302:122 проба 3","215","131","2.57","6.7","3.01","5.5","45","74","56","44","2332","2092","1951","1862","1730","1542","1424","1488","нет"
"46","32:08:0320302:122 проба 4","195","163","3.63","6.5","3.86","5.3","46","117","88","70","2936","2616","2411","2314","2150","1847","1675","1537","нет"
"47","32:08:0320302:134 проба 1","151","130","3.48","6.6","3.3","5.3","47","100","74","60","2711","2413","2262","2120","1964","1723","1562","1571","нет"
"48","32:08:0320302:134 проба 2","218","139","2.99","6.6","3.69","5.4","48","75","54","42","2393","2145","2002","1859","1729","1526","1416","1460","нет"
"49","32:08:0320302:115 проба 1","176","120","4.23","6.3","5.21","5.2","49","64","64","41","3190","2977","2758","1997","1630","1621","1407","1409","нет"
"50","32:08:0320302:115 проба 2","419","146","3.96","6.3","4.2","5.2","50","68","68","46","3240","3036","2844","2055","1661","1661","1434","1416","нет"
"51","32:08:0320302:110 проба 1","268","124","1.46","7.1","2.17","6","51","109","80","63","2878","2515","2370","2240","2077","1789","1603","1603","нет"
"52","32:08:0320302:110 проба 3","250","120","1.37","7.2","1.98","6.1","52","121","90","71","3051","2698","2525","2403","2209","1864","1684","1597","нет"
"53","32:08:0320302:110 проба 2","245","113","2.41","6.8","2.36","5.5","53","116","83","63","3013","2633","2477","2342","2141","1827","1632","1614","нет"
"54","32:08:0320302:110 проба 4","186","118","2.86","6.6","2.53","5.4","54","124","90","71","3002","2706","2526","2399","2207","1871","1689","1635","нет"
"55","ОбменМ проба 1","190","182","2.74","6.7","4.28","5.6","55","48","58","37","3054","2865","2639","1893","1475","1562","1356","1328","нет"
"56","ОбменМ проба 2","172","157","3.4","6.4","3.65","5.2","56","46","55","35","2923","2724","2525","1825","1452","1523","1335","1313","нет"
"57","ОбменМ проба 3","183","162","3.22","6.4","4.11","5.7","57","139","113","82","3905","3596","3386","2748","2375","2110","1795","1558","нет"
"58","32:02:0350203:99","131","212","3.48","6.4","5.31","5.3","58","80","71","51","2873","2606","2437","2064","1786","1698","1519","1467","нет"
"59","32:02:0350203:113 проба 1","91","258","6.25","6.2","6.3","5.1","59","123","97","78","3062","2804","2665","2435","2201","1953","1749","1562","нет"
"60","32:02:0350203:113 проба 2","111","120","4.82","6.4","5.33","5.2","60","68","79","48","4122","3812","3548","2253","1674","1773","1464","1373","нет"
"61","Поле Р3 проба 1","121","106","3.96","6.4","4.9","5.3","61","72","70","45","3324","3094","2886","2184","1703","1681","1427","1382","нет"
"62","Поле Р3 проба 2","102","82","5.14","6.2","4.82","5.1","62","86","76","52","3323","3056","2795","2208","1838","1739","1504","1529","нет"
"63","Поле Р3 проба 3","222","89","3.33","6.5","4.22","5.4","63","60","43","33","2083","1861","1762","1669","1562","1432","1362","1426","нет"
"64","Поле Р3 проба 4","151","92","4.61","6.2","4.96","5.2","64","50","38","32","1947","1769","1687","1551","1488","1374","1313","1288","нет"
"65","Поле Р3 проба 5","227","126","3.13","6.6","4.9","5.6","65","77","57","47","2377","2068","1888","1775","1750","1556","1455","1428","нет"
"66","Поле Р3 проба 6","148","105","6.11","6.1","5","5","66","46","37","33","1882","1720","1607","1524","1458","1357","1311","1333","нет"
"67","Поле Р3 проба 7","131","91","3.5","6.3","4.87","5.3","67","73","55","42","2263","2018","1824","1756","1720","1539","1419","1374","нет"
"68","Поле Р3 проба 8","126","85","3.5","6.2","4.72","5.4","68","54","49","34","2390","2206","2089","1717","1510","1477","1332","1350","нет"
"69","р32:02 проба 1","257","100","1.28","7.4","5.61","6.4","69","56","44","36","2055","1847","1759","1693","1546","1422","1348","1408","нет"
"70","р32:02 проба 2","209","112","2.02","7.2","4.61","6","70","58","43","36","2034","1807","1702","1614","1568","1431","1350","1323","нет"
